Date;P;VT;NT
01.10.2002;106;;
01.11.2002;381;;
01.12.2002;671;;
01.01.2003;1088;;
01.02.2003;1530;;
01.03.2003;1960;;
01.04.2003;2319;;
01.05.2003;2517;;
01.06.2003;2544;;
01.07.2003;2562;;
01.08.2003;2580;;
01.09.2003;2596;;
01.10.2003;2612;;
01.11.2003;2750;;
01.12.2003;3042;;
01.01.2004;3498;;
01.02.2004;4030;;
01.03.2004;4447;;
01.04.2004;4809;;
01.05.2004;4983;;
01.06.2004;5053;;
01.07.2004;5082;;
01.08.2004;5096;;
01.09.2004;5114;;
01.10.2004;5142;;
01.11.2004;5254;;
01.12.2004;5555;;
01.01.2005;5888;;
01.02.2005;6384;;
01.03.2005;6826;;
01.04.2005;7229;;
01.05.2005;7371;;
01.06.2005;7432;;
01.07.2005;7468;;
01.08.2005;7480;;
01.09.2005;7496;;
01.10.2005;7536;;
01.11.2005;7711;;
01.12.2005;8059;;
01.01.2006;8545;;
01.02.2006;9122;;
01.03.2006;9739;;
01.04.2006;10093;;
01.05.2006;10294;;
01.06.2006;10354;;
01.07.2006;;;
01.08.2006;10433;;
01.09.2006;;;
01.10.2006;10448;;
01.11.2006;10567;;
01.12.2006;10887;;
01.01.2007;11386;;
01.02.2007;11760;;
01.03.2007;12148;;
01.04.2007;12456;;
01.05.2007;12589;;
01.06.2007;12637;;
01.07.2007;12649;;
01.08.2007;12663;;
01.09.2007;12676;;
01.10.2007;;;
01.11.2007;13482;;
01.12.2007;;;
01.01.2008;13965;;
01.02.2008;14409;;
01.03.2008;14862;;
01.04.2008;15236;;
01.05.2008;15466;;
01.06.2008;;;
01.07.2008;;;
01.08.2008;;;
01.09.2008;15582;;
01.10.2008;15711;;
01.11.2008;16260;;
01.12.2008;16739;;
01.01.2009;;;
01.02.2009;17370;;
01.03.2009;17806;;
01.04.2009;18229;;
01.05.2009;18325;;
01.06.2009;;;
01.07.2009;18418;;
01.08.2009;;;
01.09.2009;;;
01.10.2009;18472;;
01.11.2009;18609;;
01.12.2009;;;
01.01.2010;19370;;
01.02.2010;20085;;
01.03.2010;20291;;
01.04.2010;20627;;
01.05.2010;21196;;
01.06.2010;;;
01.07.2010;;;
01.08.2010;;;
01.09.2010;15;3348;1406
01.10.2010;103;3522;1686
01.11.2010;354;3715;2009
01.12.2010;605;3900;2326
01.01.2011;1132;4115;2686
01.02.2011;1571;4311;3060
01.03.2011;2002;4497;3427
01.04.2011;2277;4700;3814
01.05.2011;2398;4901;4183
01.06.2011;2449;5113;4552
01.07.2011;2454;5309;4880
01.08.2011;2472;5511;5189
01.09.2011;2478;5718;5515
01.10.2011;2497;5897;5805
01.11.2011;2658;6119;6150
01.12.2011;2950;6314;6506
01.01.2012;3290;6538;6924
01.02.2012;3702;6763;7342
01.03.2012;4172;6971;7724
01.04.2012;4430;7187;8133
01.05.2012;4592;7381;8517
01.06.2012;4632;7553;8873
01.07.2012;4636;7733;9209
01.08.2012;4641;7912;9462
01.09.2012;4648;8095;9751
01.10.2012;4689;8317;10118
01.11.2012;4801;8502;10444
01.12.2012;5006;8724;10855
01.01.2013;5336;8963;11277
01.02.2013;5690;9187;11691
01.03.2013;5982;9388;12085
01.04.2013;6289;9593;12541
01.05.2013;6447;9779;12979
01.06.2013;6511;9966;13429
01.07.2013;6540;10124;13734
01.08.2013;6547;10298;14114
01.09.2013;6554;10461;14413
01.10.2013;6624;10658;14793
01.11.2013;6756;10873;15178
01.12.2013;6958;11081;15576
01.01.2014;7228;11304;16024
01.02.2014;7505;11517;16412
01.03.2014;7738;11710;16827
01.04.2014;7950;11935;17282
01.05.2014;8076;12128;17611
01.06.2014;8144;12320;17991
01.07.2014;8165;12507;18360
01.08.2014;8172;12695;18696
01.09.2014;8181;12886;19028
01.10.2014;8214;13093;19409
01.11.2014;8332;13284;19753
01.12.2014;8515;13499;20169
01.01.2015;8783;13714;20579
01.02.2015;9081;13923;21009
01.03.2015;9334;14114;21408
01.04.2015;9556;14341;21863
01.05.2015;9717;14538;22245
01.06.2015;9797;14747;22630
01.07.2015;9817;14916;22937
01.08.2015;9822;15110;23257
01.09.2015;9826;15291;23536
01.10.2015;9865;15450;23824
01.11.2015;10017;15654;24169
01.12.2015;10220;15878;24513
01.01.2016;10501;16126;24892
01.02.2016;110;16367;25295
01.03.2016;382;16557;25660
01.04.2016;651;16752;26047
01.05.2016;813;16930;26358
01.06.2016;877;17109;26715
01.07.2016;885;17271;27033
01.08.2016;889;17431;27292
01.09.2016;892;17585;27590
01.10.2016;912;17779;27966
01.11.2016;1076;18006;28391
01.12.2016;1304;18224;28831
01.01.2017;1626;18439;29245
01.02.2017;2006;18643;29643
01.03.2017;2278;18825;30004
01.04.2017;2473;19014;30382
01.05.2017;2651;19211;30764
01.06.2017;2728;19382;31104
01.07.2017;2735;19521;31382
01.08.2017;2739;19680;31655
01.09.2017;2743;19851;31943
01.10.2017;2804;20032;32224
01.11.2017;2958;20226;32562
01.12.2017;3163;20392;32852
01.01.2018;3454;20605;33204
01.02.2018;3728;20803;33614
01.03.2018;4022;20980;33952
01.04.2018;4336;21193;34376
01.05.2018;4410;21351;34724
01.06.2018;4428;21537;35088
01.07.2018;;;
01.08.2018;4444;21863;35673
01.09.2018;;;
01.10.2018;;;
01.11.2018;;;
01.12.2018;;;
01.01.2019;;;
